section,page,entity,relation
3.6,0,"('Linear Algebra', 'SVD', 'eigenvalue decomposition', 'matrix', 'singular value decomposition', 'eigendecomposition', 'matrix A', 'matrix V', 'eigenvectors', 'eigenvalues', 'matrix U', 'matrix D', 'diagonal matrix', 'singular values', 'left-singular vectors', 'right-singular vectors', 'non-zero singular values', 'Moore-Penrose Pseudoinverse', 'matrix inversion', 'left-inverse', 'linear equation')","('Linear Algebra', 'instance of', 'mathematical discipline')
('SVD', 'instance of', 'singular value decomposition')
('eigenvalue decomposition', 'instance of', 'matrix decomposition')
('matrix', 'instance of', 'mathematical object')
('singular value decomposition', 'instance of', 'matrix decomposition')
('eigendecomposition', 'instance of', 'matrix decomposition')
('matrix A', 'instance of', 'matrix')
('matrix V', 'instance of', 'matrix')
('eigenvectors', 'instance of', 'vector')
('eigenvalues', 'instance of', 'scalar')
('matrix U', 'instance of', 'matrix')
('matrix D', 'instance of', 'matrix')
('diagonal matrix', 'instance of', 'matrix')
('singular values', 'instance of', 'scalar')
('left-singular vectors', 'instance of', 'vector')
('right-singular vectors', 'instance of', 'vector')
('non-zero singular values', 'instance of', 'scalar')
('Moore-Penrose Pseudoinverse', 'instance of', 'matrix')
('matrix inversion', 'instance of', 'matrix operation')
('left-inverse', 'instance of', 'matrix operation')
('linear equation', 'instance of', 'mathematical equation')"
3.8,0,"('linear algebra', 'mapping', 'Moore-Penrose pseudoinverse', 'matrix', 'algorithms', 'computation', 'singular value decomposition', 'diagonal matrix', 'Euclidean norm', 'linear equation', 'Trace Operator')","('linear algebra', 'instance of', 'matrix')
('mapping', 'instance of', 'algorithms')
('Moore-Penrose pseudoinverse', 'instance of', 'matrix')
('matrix', 'based on', 'linear algebra')
('algorithms', 'instance of', 'computation')
('computation', 'instance of', 'algorithms')
('singular value decomposition', 'instance of', 'matrix')
('diagonal matrix', 'instance of', 'matrix')
('Euclidean norm', 'instance of', 'matrix')
('linear equation', 'instance of', 'matrix')
('Trace Operator', 'instance of', 'matrix')"
3.8,1,"('matrix products', 'trace operator', 'Frobenius norm', 'transpose operator', 'square matrix', 'factors', 'cyclic permutation', 'determinant', 'eigenvalues', 'volume')","('matrix products', 'instance of', 'matrix')
('trace operator', 'instance of', 'matrix')
('Frobenius norm', 'instance of', 'matrix')
('transpose operator', 'instance of', 'matrix')
('square matrix', 'instance of', 'matrix')
('factors', 'instance of', 'matrix')
('cyclic permutation', 'instance of', 'matrix')
('determinant', 'instance of', 'matrix')
('eigenvalues', 'instance of', 'matrix')
('volume', 'instance of', 'matrix')"
3.9,0,"('principal components analysis', 'PCA', 'linear algebra')","('principal components analysis', 'instance of', 'linear algebra')"
3.9,1,"('linear algebra', 'L2 norm', 'vector calculus')","('linear algebra', 'part of', 'vector calculus')"
3.9,2,"('linear algebra', 'matrix-vector operation', 'PCA reconstruction', 'Frobenius norm')","('linear algebra', 'use', 'PCA reconstruction')
('linear algebra', 'use', 'Frobenius norm')"
3.9,3,"('design matrix', 'Frobenius norm', 'argmin', 'constraint')","('design matrix', 'subject of', 'argmin')
('design matrix', 'subject of', 'constraint')"
3.9,4,"('eigendecomposition', 'principal component', 'linear algebra', 'probability theory')","('eigendecomposition', 'based on', 'linear algebra')
('principal component', 'facet of', 'eigendecomposition')
('principal component', 'facet of', 'probability theory')"
3.10,0,"('probability theory', 'information theory') ('probability theory', 'information theory') ('probability theory', 'information theory') ('probability theory', 'information theory') ('probability theory', 'information theory') ('probability theory', 'information theory') ('probability theory', 'information theory') ('probability theory', 'information theory') ('software engineering', 'probability theory') ('probability theory', 'information theory') ('probabilistic models', 'machine learning')","('probability theory', 'instance of', 'information theory')
('probability theory', 'based on', 'information theory')
('probability theory', 'facet of', 'information theory')
('probability theory', 'part of', 'information theory')
('probability theory', 'subject of', 'information theory')
('probability theory', 'subclass of', 'information theory')
('probability theory', 'use', 'information theory')
('probability theory', 'instance of', 'software engineering')
('software engineering', 'based on', 'probability theory')
('probabilistic models', 'based on', 'machine learning')"
3.10,1,"('probability theory',) ('machine learning',)","('probability theory', 'instance of', 'machine learning')
('machine learning', 'based on', 'probability theory')"
3.10,2,"('probability theory', 'artificial intelligence', 'machine learning')","('probability theory', 'instance of', 'artificial intelligence')
('artificial intelligence', 'based on', 'machine learning')"
3.11,0,"('probability and information theory', 'Ramsey (1926)', 'logic', 'probability theory', 'random variables', 'vector-valued variables', 'probability distribution', 'discrete random variable', 'continuous random variable', 'probability distributions', 'probability mass function', 'PMF')","('probability and information theory', 'instance of', 'Ramsey (1926)'),
('probability and information theory', 'instance of', 'logic'),
('probability theory', 'subclass of', 'probability and information theory'),
('random variables', 'instance of', 'probability theory'),
('vector-valued variables', 'subclass of', 'random variables'),
('probability distribution', 'instance of', 'probability theory'),
('discrete random variable', 'instance of', 'random variables'),
('continuous random variable', 'instance of', 'random variables'),
('probability distributions', 'subclass of', 'probability distribution'),
('probability mass function', 'instance of', 'probability distributions')"
3.12,0,"('probability mass function', 'random variable', 'state', 'joint probability distribution', 'impossible event', 'guaranteed event', 'normalized', 'uniform distribution')","('probability mass function', 'instance of', 'random variable')
('random variable', 'instance of', 'state')
('state', 'instance of', 'joint probability distribution')
('impossible event', 'subclass of', 'event')
('guaranteed event', 'subclass of', 'event')
('normalized', 'subclass of', 'event')
('uniform distribution', 'instance of', 'distribution')"
3.12,1,"('continuous random variables', 'probability density function', 'specific state', 'uniform distribution', 'univariate example', 'marginal probability distribution', 'sum rule')","('continuous random variables', 'instance of', 'probability density function')
('probability density function', 'instance of', 'specific state')
('specific state', 'instance of', 'uniform distribution')
('uniform distribution', 'instance of', 'univariate example')
('univariate example', 'instance of', 'marginal probability distribution')
('marginal probability distribution', 'instance of', 'sum rule')"
3.13,0,"('PROBABILITY AND INFORMATION THEORY', 'marginal probability', 'P(x,y)', 'P(x)', 'continuous variables', 'p(x)', 'summation', 'conditional probability', 'P(y = y x = x)', 'P(y = y,x = x)', 'P(y = y x = x)', 'P(x = x)', 'conditional probability', 'P(x= x)', 'conditional probability', 'causal modeling', 'The Chain Rule of Conditional Probabilities', 'joint probability distribution', 'conditional distributions', 'P(x(1),...,x(n))', 'P(x(1))Πn P(x(i) x(1),...,x(i 1))', 'chain rule', 'product rule of probability', 'conditional probability', 'equation 3.5')","('PROBABILITY AND INFORMATION THEORY', 'marginal probability', 'P(x,y)')
('marginal probability', 'P(x)', 'continuous variables')
('summation', 'conditional probability', 'P(y = y|x = x)')
('summation', 'conditional probability', 'P(y = y|x = x)')
('summation', 'conditional probability', 'P(x = x)')
('conditional probability', 'P(x = x)')
('conditional probability', 'P(x = x)')
('causal modeling', 'The Chain Rule of Conditional Probabilities')
('joint probability distribution', 'conditional distributions', 'P(x(1),...,x(n))')
('joint probability distribution', 'conditional distributions', 'P(x(1))Πn P(x(i)|x(1),...,x(i-1))')
('chain rule', 'product rule of probability')
('chain rule', 'product rule of probability')
('chain rule', 'conditional probability', 'equation 3.5')"
3.13,1,"('PROBABILITY AND INFORMATION THEORY', 'definition', 'P(a,b,c)', 'P(a b,c)', 'P(b,c)', 'P(b c)', 'P(a,b,c)', 'P(a b,c)P(b c)P(c)', 'Independence and Conditional Independence', 'Two random variables', 'x', 'y', 'independent', 'probability distribution', 'product of two factors', 'x x,y y', 'p(x = x,y = y)', 'p(x = x)p(y = y)', 'random variable', 'z', 'conditional probability distribution', 'x x,y y,z z', 'p(x = x,y = y z = z)', 'p(x = x z = z)p(y = y z = z)', 'Independence and Conditional Independence', 'compact notation', 'Expectation, Variance and Covariance', 'expectation', 'expected value', 'function f(x)', 'probability distribution', 'P(x)', 'average', 'mean value', 'discrete variables', 'summation', 'E [f(x)] = P(x)f(x)', 'continuous variables', 'integral', 'E [f(x)] = p(x)f(x)dx')","('PROBABILITY AND INFORMATION THEORY', 'definition', 'P(a,b,c)')
('definition', 'P(a b,c)', 'P(b,c)')
('definition', 'P(b,c)', 'P(b c)')
('definition', 'P(a,b,c)', 'P(a b,c)P(b c)P(c)')
('Independence and Conditional Independence', 'Two random variables', 'x')
('Independence and Conditional Independence', 'Two random variables', 'y')
('independent', 'probability distribution', 'product of two factors')
('product of two factors', 'x', 'x,y', 'y')
('product of two factors', 'p(x = x,y = y)', 'p(x = x)p(y = y)')
('random variable', 'z')
('conditional probability distribution', 'x', 'x,y', 'y,z', 'z')
('conditional probability distribution', 'p(x = x,y = y z = z)', 'p(x = x z = z)p(y = y z = z)')
('Independence and Conditional Independence', 'compact notation')
('Expectation, Variance and Covariance', 'expectation', 'expected value')
('Expectation, Variance and Covariance', 'function f(x)')
('function f(x)', 'probability distribution', 'P(x)')
('expectation', 'average', 'mean value', 'discrete variables')
('summation', 'E [f(x)] = P(x)f(x)')
('expectation', 'average', 'mean value', 'continuous variables')
('integral', 'E [f(x)] = p(x)f(x)dx')"
3.14,0,"('Probability and Information Theory', 'random variable', 'distribution', 'expectation', 'variance', 'function', 'covariance', 'correlation', 'independence')","('random variable', 'instance of', 'Probability and Information Theory')
('distribution', 'instance of', 'Probability and Information Theory')
('expectation', 'instance of', 'Probability and Information Theory')
('variance', 'instance of', 'Probability and Information Theory')
('function', 'instance of', 'Probability and Information Theory')
('covariance', 'instance of', 'Probability and Information Theory')
('correlation', 'instance of', 'Probability and Information Theory')
('independence', 'instance of', 'Probability and Information Theory')"
3.14,1,"('s', 'random variable', 'y', 'covariance', 'random vector', 'covariance matrix', 'Bernoulli Distribution', 'multinoulli distribution')","('s', 'instance of', 'random variable')
('y', 'instance of', 'random variable')
('random vector', 'instance of', 'covariance matrix')
('Bernoulli Distribution', 'instance of', 'covariance')
('multinoulli distribution', 'instance of', 'covariance')"
3.14,2,"('parametrized', 'vector', 'state', 'Bernoulli Distribution', 'multinoulli distribution', 'Gaussian Distribution', 'normal distribution', 'mean', 'standard deviation', 'variance', 'precision', 'PDF')","('parametrized', 'instance of', 'vector')
('vector', 'instance of', 'state')
('Bernoulli Distribution', 'instance of', 'state')
('multinoulli distribution', 'instance of', 'state')
('Gaussian Distribution', 'instance of', 'state')
('normal distribution', 'instance of', 'state')
('mean', 'instance of', 'Gaussian Distribution')
('standard deviation', 'instance of', 'Gaussian Distribution')
('variance', 'instance of', 'Gaussian Distribution')
('precision', 'instance of', 'Gaussian Distribution')
('PDF', 'instance of', 'Gaussian Distribution')"
3.14,3,"('bell curve', 'central limit theorem', 'sum', 'random variables', 'variance', 'uncertainty', 'probability distributions', 'normal distribution', 'real numbers', 'multivariate normal distribution', 'positive definite symmetric matrix')","('bell curve', 'instance of', 'normal distribution')
('central limit theorem', 'instance of', 'sum')
('sum', 'instance of', 'random variables')
('variance', 'instance of', 'uncertainty')
('uncertainty', 'instance of', 'probability distributions')
('probability distributions', 'instance of', 'normal distribution')
('normal distribution', 'instance of', 'real numbers')
('multivariate normal distribution', 'instance of', 'real numbers')
('positive definite symmetric matrix', 'instance of', 'real numbers')"
3.14,4,"('mean', 'covariance matrix', 'PDF', 'precision matrix', 'diagonal matrix', 'isotropic Gaussian distribution', 'exponential distribution', 'Laplace distribution', 'Dirac Distribution', 'Empirical Distribution', 'Dirac delta function')","('mean', 'instance of', 'covariance matrix')
('covariance matrix', 'instance of', 'PDF')
('PDF', 'instance of', 'precision matrix')
('precision matrix', 'instance of', 'diagonal matrix')
('diagonal matrix', 'instance of', 'isotropic Gaussian distribution')
('isotropic Gaussian distribution', 'instance of', 'exponential distribution')
('exponential distribution', 'instance of', 'Laplace distribution')
('Laplace distribution', 'instance of', 'Dirac Distribution')
('Dirac Distribution', 'instance of', 'Empirical Distribution')
('Empirical Distribution', 'instance of', 'Dirac delta function')"
4.1,0,"('PROBABILITY AND INFORMATION THEORY', 'Dirac delta function', 'empirical distribution', 'multinoulli distribution', 'empirical frequency')","('empirical distribution', 'subclass of', 'PROBABILITY AND INFORMATION THEORY')
('multinoulli distribution', 'subclass of', 'PROBABILITY AND INFORMATION THEORY')
('empirical frequency', 'subclass of', 'PROBABILITY AND INFORMATION THEORY')"
4.1,1,"('mixture model', 'latent variable', 'Gaussian mixture model', 'logistic sigmoid', 'Bernoulli')","('latent variable', 'subclass of', 'mixture model')
('Gaussian mixture model', 'subclass of', 'mixture model')
('logistic sigmoid', 'part of', 'Bernoulli')"
4.3,0,"('Gaussian mixture model', 'isotropic covariance matrix', 'variance', 'diagonal covariance matrix', 'axis-aligned direction', 'full-rank covariance matrix', 'distribution', 'sigmoid function', 'softplus function', 'normal distribution')","('Gaussian mixture model', 'instance of', 'distribution')
('Gaussian mixture model', 'based on', 'variance')
('Gaussian mixture model', 'based on', 'diagonal covariance matrix')
('Gaussian mixture model', 'based on', 'axis-aligned direction')
('Gaussian mixture model', 'based on', 'full-rank covariance matrix')
('isotropic covariance matrix', 'subclass of', 'covariance matrix')
('variance', 'subclass of', 'statistical dispersion')
('diagonal covariance matrix', 'subclass of', 'covariance matrix')
('axis-aligned direction', 'subset of', 'direction')
('full-rank covariance matrix', 'subclass of', 'covariance matrix')
('sigmoid function', 'instance of', 'activation function')
('softplus function', 'instance of', 'activation function')
('normal distribution', 'instance of', 'distribution')"
4.3,1,"('logistic sigmoid function', 'softplus function')","('logistic sigmoid function', 'instance of', 'activation function')
('softplus function', 'instance of', 'activation function')"
4.3,2,"('logit', 'softplus', 'Bayes’ rule')","('logit', 'instance of', 'activation function')
('softplus', 'instance of', 'activation function')
('Bayes’ rule', 'instance of', 'probability theory')"
4.3,3,"('Bayes’ rule', 'measure theory')","('Bayes’ rule', 'based on', 'measure theory')"
4.3,4,"('continuous variables', 'measure zero', 'probabilitydistribution', 'Jacobian matrix', 'derivative')","('continuous variables', 'subclass of', 'random variables')
('measure zero', 'instance of', 'measure')
('probability distribution', 'instance of', 'distribution')
('Jacobian matrix', 'instance of', 'matrix')
('derivative', 'instance of', 'mathematical concept')"
4.3,5,"('Information Theory', 'applied mathematics', 'signal', 'discrete alphabets', 'noisy channel', 'radio transmission', 'codes', 'probability distributions', 'encoding schemes', 'machine learning', 'continuous variables', 'electrical engineering', 'computer science', 'probability distributions', 'similarity', 'Cover and Thomas (2006)', 'MacKay (2003)', 'unlikely event', 'likely event', 'solar eclipse', 'information content', 'tossed coin')","('Information Theory', 'applied mathematics', 'signal')"
4.3,6,"('Shannon entropy', 'bits', 'shannons', 'information content', 'uncertainty', 'distribution', 'average', 'encode symbols', 'differential entropy', 'Kullback-Leibler divergence', 'measure', 'non-negative', 'distance measure')","('Shannon entropy', 'information content', 'bits')
('information content', 'shannons', 'bits')
('Shannon entropy', 'uncertainty', 'distribution')
('information content', 'uncertainty', 'distribution')
('Shannon entropy', 'average', 'distribution')
('information content', 'average', 'distribution')
('Shannon entropy', 'encode symbols', 'bits')
('information content', 'encode symbols', 'bits')
('Shannon entropy', 'differential entropy', 'Kullback-Leibler divergence')
('information content', 'differential entropy', 'Kullback-Leibler divergence')
('Shannon entropy', 'measure', 'non-negative')
('information content', 'measure', 'non-negative')
('Shannon entropy', 'distance measure', 'non-negative')
('information content', 'distance measure', 'non-negative')"
4.3,7,"('Shannon entropy', 'binary random variable', 'entropy', 'deterministic', 'uniform distribution', 'asymmetry', 'KL divergence', 'cross-entropy', 'structured probabilistic models')","('Shannon entropy', 'binary random variable', 'entropy')
('Shannon entropy', 'entropy', 'binary random variable')
('Shannon entropy', 'entropy', 'deterministic')
('Shannon entropy', 'entropy', 'uniform distribution')
('Shannon entropy', 'asymmetry', 'uniform distribution')
('Shannon entropy', 'KL divergence', 'cross-entropy')
('Shannon entropy', 'cross-entropy', 'KL divergence')
('Shannon entropy', 'structured probabilistic models', 'entropy')"
4.3,8,"('KL divergence', 'asymmetric', 'approximation', 'Gaussians', 'probability distribution', 'modes', 'blur')","('KL divergence', 'asymmetric', 'approximation')
('KL divergence', 'Gaussians', 'probability distribution')
('KL divergence', 'probability distribution', 'Gaussians')
('KL divergence', 'probability distribution', 'modes')
('KL divergence', 'blur', 'probability distribution')"
4.3,9,"('joint probability distribution', 'inefficient', 'computationally', 'statistically', 'probability distribution', 'factors', 'product of probability distributions', 'influences', 'independent', 'factorization', 'graphs', 'structured probabilistic models', 'directed models', 'undirected models', 'conditional probability distributions', 'direct interactions', 'random variables', 'parent nodes', 'functions')","('joint probability distribution', 'inefficient', 'computationally')
('joint probability distribution', 'statistically', 'probability distribution')
('probability distribution', 'factors', 'product of probability distributions')
('probability distribution', 'influences', 'independent')
('probability distribution', 'factorization', 'product of probability distributions')
('probability distribution', 'graphs', 'structured probabilistic models')
('structured probabilistic models', 'directed models', 'graphs')
('structured probabilistic models', 'undirected models', 'graphs')
('structured probabilistic models', 'conditional probability distributions', 'random variables')
('structured probabilistic models', 'direct interactions', 'random variables')
('structured probabilistic models', 'parent nodes', 'random variables')
('structured probabilistic models', 'functions', 'random variables')"
4.3,10,"('PROBABILITY', 'INFORMATION THEORY', 'graphical model', 'random variables', 'probability distributions', 'factor', 'clique', 'undirected graph', 'normalized probability distribution')","('PROBABILITY', 'part of', 'INFORMATION THEORY')
('random variables', 'instance of', 'PROBABILITY')
('probability distributions', 'instance of', 'PROBABILITY')
('factor', 'use', 'probability distributions')
('clique', 'use', 'factor')
('undirected graph', 'instance of', 'graphical model')
('normalized probability distribution', 'subclass of', 'probability distributions')"
4.4,0,"('PROBABILITY AND INFORMATION THEORY', 'Figure 3.8: An undirected graphical model', 'random variables', 'graph', 'probability distributions', 'φ(1)', 'φ(2)', 'φ(3)', 'Z', 'distribution', 'probability distribution', 'structured probabilistic models', 'language', 'direct probabilistic relationships', 'machine learning algorithms', 'research topics', 'part III', 'basic concepts of probability theory', 'deep learning', 'fundamental mathematical tools', 'numerical methods')","('PROBABILITY AND INFORMATION THEORY', 'instance of', 'Figure 3.8: An undirected graphical model')
('random variables', 'instance of', 'graph')
('probability distributions', 'instance of', 'graph')
('φ(1)', 'instance of', 'graph')
('φ(2)', 'instance of', 'graph')
('φ(3)', 'instance of', 'graph')
('Z', 'instance of', 'graph')
('distribution', 'instance of', 'graph')
('probability distribution', 'instance of', 'graph')
('structured probabilistic models', 'instance of', 'graph')
('language', 'instance of', 'graph')
('direct probabilistic relationships', 'instance of', 'graph')
('machine learning algorithms', 'instance of', 'graph')
('research topics', 'instance of', 'graph')
('part III', 'instance of', 'graph')
('basic concepts of probability theory', 'instance of', 'graph')
('deep learning', 'instance of', 'graph')
('fundamental mathematical tools', 'instance of', 'graph')
('numerical methods', 'instance of', 'graph')"
4.4,1,"('Numerical Computation Machine learning algorithms', 'numerical computation', 'algorithms', 'mathematical problems', 'iterative process', 'formula', 'symbolic expression', 'optimization', 'solving systems of linear equations', 'evaluating a mathematical function', 'digital computer', 'real numbers', 'finite amount of memory', 'Overflow and Underflow', 'continuous math', 'bit patterns', 'approximation error', 'rounding error', 'algorithms', 'theory', 'practice', 'rounding error', 'underflow')","('Numerical Computation', 'instance of', 'Machine learning algorithms') 
('numerical computation', 'instance of', 'algorithms') 
('algorithms', 'instance of', 'mathematical problems') 
('iterative process', 'instance of', 'algorithms')
('formula', 'instance of', 'symbolic expression') 
('symbolic expression', 'instance of', 'algorithms') 
('optimization', 'instance of', 'algorithms') 
('solving systems of linear equations', 'instance of', 'algorithms') 
('evaluating a mathematical function', 'instance of', 'algorithms') 
('digital computer', 'instance of', 'algorithms') 
('real numbers', 'instance of', 'algorithms') 
('finite amount of memory', 'instance of', 'algorithms') 
('Overflow and Underflow', 'instance of', 'algorithms') 
('continuous math', 'instance of', 'algorithms') 
('bit patterns', 'instance of', 'algorithms') 
('approximation error', 'instance of', 'algorithms') 
('rounding error', 'instance of', 'algorithms') 
('algorithms', 'instance of', 'theory') 
('algorithms', 'instance of', 'practice') 
('rounding error', 'instance of', 'algorithms') 
('underflow', 'instance of', 'algorithms')"
4.4,2,"('NUMERICAL COMPUTATION', 'software environments', 'exceptions', 'logarithm of zero', 'numerical error', 'overflow', 'softmax function', 'probabilities', 'multinoulli distribution', 'constant c', 'underflow', 'undefined', 'adding or subtracting a scalar', 'logsoftmax function', 'numerically stable', 'low-level libraries', 'deep learning algorithms')","('NUMERICAL COMPUTATION', 'instance of', 'software environments')
('exceptions', 'instance of', 'software environments')
('logarithm of zero', 'instance of', 'numerical error')
('numerical error', 'instance of', 'software environments')
('overflow', 'instance of', 'software environments')
('softmax function', 'instance of', 'software environments')
('probabilities', 'instance of', 'software environments')
('multinoulli distribution', 'instance of', 'software environments')
('constant c', 'instance of', 'software environments')
('underflow', 'instance of', 'software environments')
('undefined', 'instance of', 'software environments')
('adding or subtracting a scalar', 'instance of', 'software environments')
('logsoftmax function', 'instance of', 'software environments')
('numerically stable', 'instance of', 'software environments')
('low-level libraries', 'instance of', 'software environments')
('deep learning algorithms', 'instance of', 'software environments')"
4.5,0,"('Theano', 'Bergstra et al., 2010', 'Bastien et al., 2012')","('Theano', 'based on', 'Bergstra et al., 2010')
('Theano', 'based on', 'Bastien et al., 2012')"
4.5,1,"('gradient descent', 'derivative', 'local minimum', 'local maximum')","('gradient descent', 'based on', 'derivative')
('derivative', 'use', 'gradient descent')
('local minimum', 'based on', 'gradient descent')
('local maximum', 'based on', 'gradient descent')"
4.5,2,"('saddle point', 'global minimum', 'local minimum', 'global minima', 'local minima', 'gradient', 'partial derivatives')","('saddle point', 'based on', 'gradient')
('global minimum', 'based on', 'gradient')
('local minimum', 'based on', 'gradient')
('global minima', 'based on', 'gradient')
('local minima', 'based on', 'gradient')
('gradient', 'use', 'partial derivatives')
('partial derivatives', 'use', 'gradient')"
5.1,0,"('NUMERICAL COMPUTATION', 'halting point', 'global minimum', 'local minimum', 'optimization algorithms', 'plateaus', 'deep learning', 'critical points', 'gradient', 'directional derivative', 'chain rule', 'slope', 'cost function', 'minimizing f', 'method of steepest descent', 'gradient descent', 'new point')","('NUMERICAL COMPUTATION', 'instance of', 'halting point')
('NUMERICAL COMPUTATION', 'instance of', 'global minimum')
('NUMERICAL COMPUTATION', 'instance of', 'local minimum')
('NUMERICAL COMPUTATION', 'instance of', 'optimization algorithms')
('NUMERICAL COMPUTATION', 'instance of', 'plateaus')
('NUMERICAL COMPUTATION', 'instance of', 'deep learning')
('NUMERICAL COMPUTATION', 'instance of', 'critical points')
('NUMERICAL COMPUTATION', 'instance of', 'gradient')
('NUMERICAL COMPUTATION', 'instance of', 'directional derivative')
('NUMERICAL COMPUTATION', 'instance of', 'chain rule')
('NUMERICAL COMPUTATION', 'instance of', 'slope')
('NUMERICAL COMPUTATION', 'instance of', 'cost function')
('NUMERICAL COMPUTATION', 'instance of', 'minimizing f')
('NUMERICAL COMPUTATION', 'instance of', 'method of steepest descent')
('NUMERICAL COMPUTATION', 'instance of', 'gradient descent')
('NUMERICAL COMPUTATION', 'instance of', 'new point')"
5.1,1,"('Jacobian matrix', 'second derivative', 'quadratic function')","('Jacobian matrix', 'instance of', 'second derivative')
('Jacobian matrix', 'instance of', 'quadratic function')"
5.1,2,"('curvature', 'Hessian matrix', 'eigenvalues', 'orthogonal basis')","('curvature', 'instance of', 'Hessian matrix')
('curvature', 'instance of', 'eigenvalues')
('curvature', 'instance of', 'orthogonal basis')"
5.1,3,"('eigenvectors', 'Taylor series', 'learning rate', 'optimal step size', 'critical point', 'local maximum', 'local minimum', 'saddle point')","('eigenvectors', 'instance of', 'Taylor series')
('eigenvectors', 'instance of', 'learning rate')
('eigenvectors', 'instance of', 'optimal step size')
('eigenvectors', 'instance of', 'critical point')
('eigenvectors', 'instance of', 'local maximum')
('eigenvectors', 'instance of', 'local minimum')
('eigenvectors', 'instance of', 'saddle point')"
5.1,4,"('second derivative test', 'positive definite', 'negative definite', 'saddle points', 'condition number')","('second derivative test', 'instance of', 'positive definite')
('second derivative test', 'instance of', 'negative definite')
('second derivative test', 'instance of', 'saddle points')
('second derivative test', 'instance of', 'condition number')"
5.1,5,"('NUMERICAL COMPUTATION', 'eigenvalues', 'local maximum', 'local minimum')","('NUMERICAL COMPUTATION', 'instance of', 'eigenvalues')
('NUMERICAL COMPUTATION', 'instance of', 'local maximum')
('NUMERICAL COMPUTATION', 'instance of', 'local minimum')"
5.1,6,"('NUMERICAL COMPUTATION', 'Hessian matrix', 'condition number', 'quadratic function', 'curvature', 'gradient descent', 'optimization algorithm')","('NUMERICAL COMPUTATION', 'instance of', 'Hessian matrix')
('NUMERICAL COMPUTATION', 'part of', 'condition number')
('NUMERICAL COMPUTATION', 'part of', 'quadratic function')
('NUMERICAL COMPUTATION', 'part of', 'curvature')
('NUMERICAL COMPUTATION', 'part of', 'gradient descent')
('NUMERICAL COMPUTATION', 'part of', 'optimization algorithm')"
5.1,7,"('NUMERICAL COMPUTATION', 'Newton’s method', 'Taylor series expansion', 'critical point', 'positive definite quadratic function', 'gradient descent', 'saddle point', 'Hessian matrix', 'first-order optimization algorithms', 'second-order optimization algorithms', 'Lipschitz continuous function', 'Lipschitz constant')","('NUMERICAL COMPUTATION', 'part of', 'Newton’s method')
('NUMERICAL COMPUTATION', 'part of', 'Taylor series expansion')
('NUMERICAL COMPUTATION', 'part of', 'critical point')
('NUMERICAL COMPUTATION', 'part of', 'positive definite quadratic function')
('NUMERICAL COMPUTATION', 'part of', 'gradient descent')
('NUMERICAL COMPUTATION', 'part of', 'saddle point')
('NUMERICAL COMPUTATION', 'part of', 'Hessian matrix')
('NUMERICAL COMPUTATION', 'part of', 'first-order optimization algorithms')
('NUMERICAL COMPUTATION', 'part of', 'second-order optimization algorithms')
('NUMERICAL COMPUTATION', 'part of', 'Lipschitz continuous function')
('NUMERICAL COMPUTATION', 'part of', 'Lipschitz constant')"
5.1,8,"('NUMERICAL COMPUTATION', 'Lipschitz continuity', 'convex optimization', 'positive semidefinite', 'constrained optimization', 'feasible points', 'norm constraint', 'gradient descent', 'projection', 'line search', 'tangent space', 'unconstrained optimization problem')","('NUMERICAL COMPUTATION', 'part of', 'Lipschitz continuity')
('NUMERICAL COMPUTATION', 'part of', 'convex optimization')
('NUMERICAL COMPUTATION', 'part of', 'positive semidefinite')
('NUMERICAL COMPUTATION', 'part of', 'constrained optimization')
('NUMERICAL COMPUTATION', 'part of', 'feasible points')
('NUMERICAL COMPUTATION', 'part of', 'norm constraint')
('NUMERICAL COMPUTATION', 'part of', 'gradient descent')
('NUMERICAL COMPUTATION', 'part of', 'projection')
('NUMERICAL COMPUTATION', 'part of', 'line search')
('NUMERICAL COMPUTATION', 'part of', 'tangent space')
('NUMERICAL COMPUTATION', 'part of', 'unconstrained optimization problem')"
5.1,9,"('NUMERICAL COMPUTATION', 'constrained optimization', 'L2 norm', 'generalized Lagrangian', 'equality constraints', 'inequality constraints', 'KKT multipliers')","('NUMERICAL COMPUTATION', 'part of', 'constrained optimization')
('NUMERICAL COMPUTATION', 'part of', 'L2 norm')
('NUMERICAL COMPUTATION', 'part of', 'generalized Lagrangian')
('NUMERICAL COMPUTATION', 'part of', 'equality constraints')
('NUMERICAL COMPUTATION', 'part of', 'inequality constraints')
('NUMERICAL COMPUTATION', 'part of', 'KKT multipliers')"
5.1,10,"('NUMERICAL COMPUTATION', 'constrained maximization', 'generalized La- grange function', 'optimization problem', 'equality constraints', 'inequality constraints', 'active constraint', 'local solution', 'inactive constraint', 'stationary point', 'KKT multiplier', 'Karush-Kuhn-Tucker conditions', 'optimal point', 'gradient of the generalized Lagrangian')","('NUMERICAL COMPUTATION', 'instance of', 'constrained maximization')
('generalized La- grange function', 'instance of', 'optimization problem')
('equality constraints', 'instance of', 'optimization problem')
('inequality constraints', 'instance of', 'optimization problem')
('active constraint', 'instance of', 'local solution')
('inactive constraint', 'instance of', 'local solution')
('stationary point', 'instance of', 'local solution')
('KKT multiplier', 'instance of', 'stationary point')
('Karush-Kuhn-Tucker conditions', 'instance of', 'stationary point')
('optimal point', 'instance of', 'stationary point')
('gradient of the generalized Lagrangian', 'instance of', 'stationary point')"
